Topic,Title,Content,Date,Link,src
Sports,Judo-Grand Slam of Düsseldorf: Tunisian Ghofrane Khélifi finishes 7th in -57 kg category,"(TAP) - Tunisian judokate Ghofrane Khélifi (-57 kg) finished 7th at the Grand Slam in Düsseldorf, Germany, held on February 21-23.The gold medal of the competition went to Canada's Jessica Klimkait.","22/02/2020 17:41, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12354393-judo-grand-slam-of,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,UNAF Women's Tournament: Tunisia - Tanzania 1-1 ,"(TAP)– The Tunisian women’s football team made a 1-1 draw with Tanzanian counterpart at the Kram stadium, at a day-5 game of the UNAF Women's Tournament, played on Saturday. Morocco won the Tournament with 12 points, ahead of Tanzania with 7 points and Tunisia with 5 points.Tournament final Standings: Standings	Pts	P	  1- Morocco 	12	4	  2- Tanzania	7	4	  3- Tunisia	5	4	  4- Algeria 	4	4	  5- Mauritania 	0	4	 ","22/02/2020 17:12, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12354283-unaf-women-s,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Tennis- Morelos Open: Tunisian Aziz Dougaz through to semi-finals,"(TAP)– Tunisian tennis player Aziz Dougaz qualified for the semi-finals of the Morelos Open in Mexico, on Saturday, beating world’s 448th American Alexander Sarkissian (6-2, 6-0).Dougaz (442nd) will face Argentinean Juan Pablo Ficovich (231st) in the semi-final, scheduled on Sunday February 23.The second semi-final will juxtapose Brazilian Guilherme Clezar and Austrian Jurij Rodionov. ","22/02/2020 16:58, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12354268-tennis-morelos,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Dubai Tennis Championships (round of 32): Malek Jaziri to face world N°1 Novak Djokovic,"(TAP)– Tunisian tennis player Malek Jaziri will oppose world N°1 Serbian Novak Djokovic in the round of 32 of the Dubai Tennis Championships, on Monday February 24.Jaziri (world’s 259th) received a wild card allowing him direct access to the final table.The championships will take place February 24 to 29 on Hardcourt, for a money Prize of US$2,887,895.Djokovic has won the Dubai Tennis Championships three times in a row (2009, 2010 and 2011).Title holder Swiss Roger Federer will not take part in the championships due to a knee injury.","22/02/2020 16:52, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12354225-dubai-tennis,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Qatar Open: Ons Jabeur receives wild-card entry into main draw ,"(TAP) - Tunisia's Ons Jabeur received wild-card entry into Qatar Open main draw.The World No. 45 will face a qualifier in the event that starts Sunday.She was eliminated earlier this week in the second round of Dubai Tennis Championships by World No. 2 Simona Halep (6-1, 2-6, 6-7). ","22/02/2020 13:47, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12353692-qatar-open-ons,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,UNAF Women's Tournament– Day 4: Tunisia - Algeria 1-1,"(TAP)– Tunisia’s women football selection and their Algerian counterpart made a 1-1 draw, Thursday at the UNAF Women's Tournament day-4 game, organised February 14 to 22 at the Kram stadium (Tunis).Tunisia will take on Tanzania at a day-5 match, on Saturday February 22.Tournament Standings:  Standings	Pts	P	  1-Morocco 	9	3	  2-Tanzania	6	3	  3- Tunisia	4	3	  .- Alegria	4	3	  5- Mauritania  	0	4	  ","20/02/2020 16:36, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12347836-unaf-women-s,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,FIFA Ranking: Tunisia still 27th worldwide and 2nd at African level,"(TAP) - Tunisia are still 27th worldwide and 2nd at the African level in the FIFA Ranking of February, published on Thursday by the International Football Federation.The Tunisian team rank second at the African level, with Senegal (20th) ahead and Nigeria (31st), Algeria (35th), Morocco (43rd) and Ghana (46, +1).FIFA Ranking: 1. Belgium 	1765 2. France		1733 3. Brazil		1712 4. England 	1661 5. Uruguay	1645  ...20. Senegal	155527. Tunisia		150631. Nigeria		149335. Algeria		148243. Morocco	145646. Ghana		143951. Egypt		1420...","20/02/2020 12:35, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12346759-fifa-ranking,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Soccer - Champions League: Tunisia expresses willingness to host final,"(TAP) - The Tunisian Football Federation (FTF) announced its intention to organise the final of the 2020 African Champions League scheduled for May 29, the FTF announced on Wednesday on its official facebook page.""Following the consultation launched by the African Football Confederation on the organisation of the 2020 African Champions League final and after confirmation from the federation and the Tunisian public authorities of their willingness to comply with the specifications for the organisation of the final scheduled for 29 May 2020, the federation sent a letter to the African Confederation expressing its willingness and capacity to host this match,"" the FTF said.","20/02/2020 12:07, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12346631-soccer-champions,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,"Menzel Temim to host 3rd ""Foulées du Cap-Bon"" marathon, March 8","(TAP) – The city of Menzel Temime will host on March 8 the 3rd edition of the “Foulées du Cap-Bon” under the keynote: ""Running for the noble cause,” said President of the Menzel Temime Club and the organising committee Haythem Sahmime. A thousand participants from Tunisia, Algeria, Morocco, Libya, Italy, Spain, France and other countries are expected in this event, that includes two races: The half-marathon (21.1km) and the race for all “El Dakhla” (7km). An entertainment programme is also scheduled on the fringes of this event, as well as awareness-raising campaigns for screening high-blood pressure and diabetes, organised with the Tunisian Red Crescent and the Menzel Temim Junior Chamber International (JCI), the same source added. ","20/02/2020 11:07, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12346231-menzel-temim-to,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
Sports,Dubai Tennis Championships: Ons Jabeur knocked out in round of 16 ,"(TAP) – World's 45th Tunisian tennis player Ons Jabeur was knocked out from the Dubai Tennis Championships after losing to world's 2nd  Romanian Simona Halep (6-1, 2-6, 6-7), at a round of 16 game played on Wednesday.Ons Jabeur had qualified for the round of 16 after beating world's 18th US Alison Riske two sets to one (7-6, 1-6, 6-3).Simona Halep will face Belarusian Aryna Sabalenka (wodl's 13th) at the quarter final.","19/02/2020 19:32, TUNIS/Tunisia",https://www.tap.info.tn/en/Portal-Sports/12344288-dubai-tennis,https://www.tap.info.tn/Files/Logos/636045259768177590_logo_tap19.png?v=5_10_2018_2
